"","diff","response","ppt"
"1",-50,0,1
"2",-50,0,1
"3",-50,0,1
"4",-50,0,1
"5",-50,0,1
"6",-50,0,1
"7",-50,0,1
"8",-50,0,1
"9",-50,0,1
"10",-50,0,1
"11",-50,0,1
"12",-50,0,1
"13",-50,0,1
"14",-50,0,1
"15",-50,0,1
"16",-50,0,1
"17",-50,0,1
"18",-50,0,1
"19",-50,0,1
"20",-50,0,1
"21",-50,0,1
"22",-50,0,1
"23",-50,0,1
"24",-50,0,1
"25",-50,0,1
"26",-50,0,1
"27",-50,0,1
"28",-50,0,1
"29",-50,0,1
"30",-50,0,1
"31",-50,0,1
"32",-50,0,1
"33",-50,0,1
"34",-50,0,1
"35",-50,0,1
"36",-50,0,1
"37",-50,0,1
"38",-50,0,1
"39",-50,0,1
"40",-50,0,1
"41",-50,0,1
"42",-50,0,1
"43",-50,0,1
"44",-50,0,1
"45",-50,0,1
"46",-50,0,1
"47",-50,0,1
"48",-50,0,1
"49",-50,0,1
"50",-50,0,1
"51",-50,0,1
"52",-50,0,1
"53",-50,0,1
"54",-50,0,1
"55",-50,0,1
"56",-50,0,1
"57",-50,0,1
"58",-50,0,1
"59",-50,0,1
"60",-50,0,1
"61",-50,0,1
"62",-50,0,1
"63",-50,0,1
"64",-50,0,1
"65",-50,0,1
"66",-50,0,1
"67",-50,0,1
"68",-50,0,1
"69",-50,0,1
"70",-50,0,1
"71",-50,0,1
"72",-50,0,1
"73",-50,0,1
"74",-50,0,1
"75",-50,0,1
"76",-50,0,1
"77",-50,0,1
"78",-50,0,1
"79",-50,0,1
"80",-50,0,1
"81",-50,0,1
"82",-50,0,1
"83",-50,0,1
"84",-50,0,1
"85",-50,0,1
"86",-50,0,1
"87",-50,0,1
"88",-50,0,1
"89",-50,0,1
"90",-50,0,1
"91",-50,0,1
"92",-50,0,1
"93",-50,0,1
"94",-50,0,1
"95",-50,0,1
"96",-50,0,1
"97",-50,0,1
"98",-50,0,1
"99",-50,0,1
"100",-50,0,1
"101",-40,0,1
"102",-40,0,1
"103",-40,0,1
"104",-40,0,1
"105",-40,0,1
"106",-40,0,1
"107",-40,0,1
"108",-40,0,1
"109",-40,0,1
"110",-40,0,1
"111",-40,0,1
"112",-40,0,1
"113",-40,0,1
"114",-40,0,1
"115",-40,0,1
"116",-40,0,1
"117",-40,0,1
"118",-40,0,1
"119",-40,0,1
"120",-40,0,1
"121",-40,0,1
"122",-40,0,1
"123",-40,0,1
"124",-40,0,1
"125",-40,0,1
"126",-40,0,1
"127",-40,0,1
"128",-40,0,1
"129",-40,0,1
"130",-40,0,1
"131",-40,0,1
"132",-40,0,1
"133",-40,0,1
"134",-40,0,1
"135",-40,0,1
"136",-40,0,1
"137",-40,0,1
"138",-40,0,1
"139",-40,0,1
"140",-40,0,1
"141",-40,0,1
"142",-40,0,1
"143",-40,0,1
"144",-40,0,1
"145",-40,0,1
"146",-40,0,1
"147",-40,0,1
"148",-40,0,1
"149",-40,0,1
"150",-40,0,1
"151",-40,0,1
"152",-40,0,1
"153",-40,0,1
"154",-40,0,1
"155",-40,0,1
"156",-40,0,1
"157",-40,0,1
"158",-40,0,1
"159",-40,0,1
"160",-40,0,1
"161",-40,0,1
"162",-40,0,1
"163",-40,0,1
"164",-40,0,1
"165",-40,0,1
"166",-40,0,1
"167",-40,0,1
"168",-40,0,1
"169",-40,0,1
"170",-40,0,1
"171",-40,0,1
"172",-40,0,1
"173",-40,0,1
"174",-40,0,1
"175",-40,0,1
"176",-40,0,1
"177",-40,0,1
"178",-40,0,1
"179",-40,0,1
"180",-40,0,1
"181",-40,0,1
"182",-40,0,1
"183",-40,0,1
"184",-40,0,1
"185",-40,0,1
"186",-40,0,1
"187",-40,0,1
"188",-40,0,1
"189",-40,0,1
"190",-40,0,1
"191",-40,0,1
"192",-40,0,1
"193",-40,0,1
"194",-40,0,1
"195",-40,0,1
"196",-40,0,1
"197",-40,0,1
"198",-40,0,1
"199",-40,0,1
"200",-40,0,1
"201",-30,0,1
"202",-30,0,1
"203",-30,0,1
"204",-30,0,1
"205",-30,0,1
"206",-30,0,1
"207",-30,0,1
"208",-30,0,1
"209",-30,0,1
"210",-30,0,1
"211",-30,0,1
"212",-30,0,1
"213",-30,0,1
"214",-30,0,1
"215",-30,0,1
"216",-30,1,1
"217",-30,0,1
"218",-30,0,1
"219",-30,0,1
"220",-30,0,1
"221",-30,0,1
"222",-30,0,1
"223",-30,0,1
"224",-30,0,1
"225",-30,0,1
"226",-30,0,1
"227",-30,0,1
"228",-30,0,1
"229",-30,0,1
"230",-30,0,1
"231",-30,0,1
"232",-30,0,1
"233",-30,0,1
"234",-30,0,1
"235",-30,0,1
"236",-30,0,1
"237",-30,0,1
"238",-30,0,1
"239",-30,0,1
"240",-30,0,1
"241",-30,0,1
"242",-30,0,1
