person,block,condition,trial,attempt,id,found,score,item_class,x,y,rt
18,practice,practice,0,1,9,0,0,dist_class2,32.0,91.0,2.03
18,practice,practice,0,2,9,1,1,targ_class2,368.0,142.0,2.59
18,practice,practice,0,2,14,2,2,targ_class2,407.0,181.0,3.01
18,practice,practice,0,2,1,0,0,dist_class1,420.0,285.0,4.87
18,practice,practice,0,3,11,1,1,targ_class2,276.0,-43.0,1.07
18,practice,practice,0,3,1,2,2,targ_class2,-62.0,33.0,1.97
18,practice,practice,0,3,3,3,3,targ_class2,-76.0,-63.0,2.91
18,practice,practice,0,3,9,4,4,targ_class1,-489.0,-5.0,4.02
18,practice,practice,0,3,7,5,5,targ_class1,-57.0,-443.0,5.31
18,practice,practice,0,3,16,6,6,targ_class2,28.0,376.0,7.77
18,practice,practice,0,3,8,7,7,targ_class1,-149.0,377.0,8.29
18,practice,practice,0,3,2,8,8,targ_class1,468.0,280.0,11.15
18,practice,practice,1,1,16,1,1,targ_class2,63.0,-8.0,1.02
18,practice,practice,1,1,11,2,2,targ_class2,-395.0,-98.0,2.14
18,practice,practice,1,1,6,3,3,targ_class2,-260.0,-246.0,2.89
18,practice,practice,1,1,1,4,4,targ_class1,-262.0,36.0,3.72
18,practice,practice,1,1,12,5,5,targ_class1,-117.0,51.0,4.37
18,practice,practice,1,1,2,6,6,targ_class1,106.0,-128.0,5.26
18,practice,practice,1,1,8,7,7,targ_class1,-281.0,327.0,6.52
18,practice,practice,1,1,3,8,8,targ_class2,-450.0,260.0,7.06
18,block1,horz_line,1,1,29,1,1,targ_class1,-207.0,30.0,1.32
18,block1,horz_line,1,1,19,2,2,targ_class1,-91.0,30.0,2.12
18,block1,horz_line,1,1,44,3,3,targ_class1,-262.0,38.0,2.76
18,block1,horz_line,1,1,36,4,4,targ_class2,-291.0,139.0,3.51
18,block1,horz_line,1,1,61,5,5,targ_class2,-329.0,30.0,3.89
18,block1,horz_line,1,1,46,6,6,targ_class2,-373.0,-58.0,4.96
18,block1,horz_line,1,1,1,7,7,targ_class1,-394.0,167.0,6.52
18,block1,horz_line,1,1,11,8,8,targ_class1,-323.0,215.0,6.95
18,block1,horz_line,1,1,9,9,9,targ_class1,-359.0,416.0,7.79
18,block1,horz_line,1,1,24,10,10,targ_class1,-489.0,434.0,8.24
18,block1,horz_line,1,1,39,11,11,targ_class2,-413.0,220.0,9.12
18,block1,horz_line,1,1,43,12,12,targ_class2,-1.0,394.0,10.95
18,block1,horz_line,1,1,6,13,13,targ_class1,115.0,369.0,11.64
18,block1,horz_line,1,1,26,14,14,targ_class2,199.0,218.0,13.19
18,block1,horz_line,1,1,54,15,15,targ_class2,315.0,343.0,13.85
18,block1,horz_line,1,1,15,16,16,targ_class2,426.0,423.0,14.64
18,block1,horz_line,1,1,17,17,17,targ_class1,339.0,217.0,15.6
18,block1,horz_line,1,1,56,18,18,targ_class1,292.0,156.0,15.9
18,block1,horz_line,1,1,4,19,19,targ_class2,377.0,30.0,16.8
18,block1,horz_line,1,1,3,20,20,targ_class2,480.0,-39.0,17.4
18,block1,horz_line,1,1,51,21,21,targ_class1,337.0,-30.0,17.87
18,block1,horz_line,1,1,40,22,22,targ_class2,4.0,89.0,19.92
18,block1,horz_line,1,1,23,23,23,targ_class1,34.0,-174.0,21.34
18,block1,horz_line,1,1,57,24,24,targ_class1,-108.0,-214.0,22.2
18,block1,horz_line,1,1,14,25,25,targ_class1,-163.0,-224.0,22.6
18,block1,horz_line,1,1,55,26,26,targ_class2,-218.0,-162.0,23.4
18,block1,horz_line,1,1,28,27,27,targ_class2,-271.0,-140.0,24.13
18,block1,horz_line,1,1,2,28,28,targ_class1,-340.0,-280.0,25.07
18,block1,horz_line,1,1,32,29,29,targ_class2,-19.0,-324.0,27.18
18,block1,horz_line,1,1,35,30,30,targ_class1,265.0,-359.0,28.95
18,block1,horz_line,1,1,16,31,31,targ_class2,397.0,-140.0,30.22
18,block1,horz_line,1,1,12,32,32,targ_class2,429.0,-210.0,30.63
18,block1,vert_line,3,1,3,1,1,targ_class1,-192.0,199.0,3.21
18,block1,vert_line,3,1,20,2,2,targ_class1,-30.0,371.0,4.14
18,block1,vert_line,3,1,13,3,3,targ_class1,-30.0,443.0,4.54
18,block1,vert_line,3,1,57,4,4,targ_class1,-120.0,379.0,5.07
18,block1,vert_line,3,1,23,5,5,targ_class1,-301.0,377.0,5.67
18,block1,vert_line,3,1,37,6,6,targ_class1,-420.0,225.0,6.35
18,block1,vert_line,3,1,40,7,7,targ_class2,-316.0,-142.0,9.24
18,block1,vert_line,3,1,19,8,8,targ_class2,-471.0,-93.0,9.85
18,block1,vert_line,3,1,41,9,9,targ_class2,-473.0,-178.0,10.3
18,block1,vert_line,3,1,8,10,10,targ_class1,-167.0,-278.0,11.77
18,block1,vert_line,3,1,63,11,11,targ_class2,-477.0,-332.0,13.32
18,block1,vert_line,3,1,35,12,12,targ_class1,117.0,-344.0,15.54
18,block1,vert_line,3,1,4,13,13,targ_class1,247.0,-321.0,16.39
18,block1,vert_line,3,1,39,14,14,targ_class2,294.0,-368.0,16.74
18,block1,vert_line,3,1,43,15,15,targ_class2,288.0,-462.0,17.15
18,block1,vert_line,3,1,38,16,16,targ_class2,453.0,-449.0,18.19
18,block1,vert_line,3,1,53,17,17,targ_class1,345.0,-346.0,19.34
18,block1,vert_line,3,1,59,18,18,targ_class2,451.0,-353.0,19.69
18,block1,vert_line,3,1,11,19,19,targ_class2,447.0,-295.0,19.99
18,block1,vert_line,3,1,25,20,20,targ_class2,296.0,-188.0,20.9
18,block1,vert_line,3,1,34,21,21,targ_class1,114.0,-72.0,21.79
18,block1,vert_line,3,1,36,22,22,targ_class2,381.0,169.0,24.65
18,block1,vert_line,3,1,58,23,23,targ_class2,422.0,209.0,25.07
18,block1,vert_line,3,1,42,24,24,targ_class1,448.0,160.0,25.79
18,block1,vert_line,3,1,44,25,25,targ_class2,416.0,264.0,27.17
18,block1,vert_line,3,1,28,26,26,targ_class2,403.0,404.0,28.55
18,block1,vert_line,3,1,56,27,27,targ_class1,270.0,463.0,29.39
18,block1,vert_line,3,1,26,28,28,targ_class1,84.0,414.0,31.37
18,block1,vert_line,3,1,46,29,29,targ_class1,141.0,375.0,31.84
