person,block,condition,trial,attempt,id,found,score,item_class,x,y,rt
2,practice,practice,1,1,2,1,1,targ_class2,87.0,100.0,1.85
2,practice,practice,1,1,6,2,2,targ_class2,-40.0,407.0,3.16
2,practice,practice,1,1,3,3,3,targ_class2,-189.0,-204.0,6.19
2,practice,practice,1,1,5,4,4,targ_class2,180.0,-387.0,7.52
2,practice,practice,1,1,13,5,5,targ_class1,412.0,-418.0,8.37
2,practice,practice,1,1,12,6,6,targ_class1,156.0,124.0,10.94
2,practice,practice,1,1,7,7,7,targ_class1,383.0,131.0,12.32
2,practice,practice,1,1,8,8,8,targ_class1,232.0,351.0,13.29
2,practice,practice,0,1,8,1,1,targ_class2,-141.0,18.0,1.14
2,practice,practice,0,1,16,2,2,targ_class2,-292.0,308.0,2.52
2,practice,practice,0,1,3,3,3,targ_class2,320.0,54.0,3.94
2,practice,practice,0,1,15,4,4,targ_class2,275.0,-457.0,5.72
2,practice,practice,0,1,7,5,5,targ_class1,-88.0,-1.0,7.37
2,practice,practice,0,1,1,6,6,targ_class1,316.0,111.0,8.6
2,practice,practice,0,1,11,7,7,targ_class1,-427.0,39.0,10.07
2,practice,practice,0,1,4,8,8,targ_class1,-308.0,-398.0,10.97
2,block1,horz_line,3,1,24,1,1,targ_class1,206.0,158.0,2.51
2,block1,horz_line,3,1,8,2,2,targ_class1,154.0,181.0,3.22
2,block1,horz_line,3,1,7,3,3,targ_class1,137.0,234.0,4.24
2,block1,horz_line,3,1,62,4,4,targ_class1,-180.0,218.0,5.64
2,block1,horz_line,3,1,41,5,5,targ_class1,-369.0,324.0,6.5
2,block1,horz_line,3,1,47,6,6,targ_class1,-332.0,283.0,7.14
2,block1,horz_line,3,1,15,7,7,targ_class1,-305.0,228.0,7.69
2,block1,horz_line,3,1,12,8,8,targ_class1,-432.0,254.0,8.7
2,block1,horz_line,3,1,63,9,9,targ_class1,-355.0,138.0,9.65
2,block1,horz_line,3,1,51,10,10,targ_class1,-370.0,30.0,10.6
2,block1,horz_line,3,1,16,11,11,targ_class1,-308.0,-30.0,11.02
2,block1,horz_line,3,1,3,12,12,targ_class1,-283.0,-79.0,11.69
2,block1,horz_line,3,1,25,13,13,targ_class1,-93.0,-404.0,13.29
2,block1,horz_line,3,1,52,14,14,targ_class1,-80.0,-459.0,13.65
2,block1,horz_line,3,1,36,15,15,targ_class1,248.0,-372.0,14.62
2,block1,horz_line,3,1,50,16,16,targ_class2,-140.0,387.0,16.4
2,block1,horz_line,3,1,19,17,17,targ_class2,-376.0,249.0,17.3
2,block1,horz_line,3,1,48,18,18,targ_class2,15.0,456.0,18.42
2,block1,horz_line,3,1,49,19,19,targ_class2,196.0,350.0,19.12
2,block1,horz_line,3,1,37,20,20,targ_class2,156.0,287.0,20.05
2,block1,horz_line,3,1,39,21,21,targ_class2,258.0,176.0,20.8
2,block1,horz_line,3,1,1,22,22,targ_class2,181.0,100.0,21.52
2,block1,horz_line,3,1,26,23,23,targ_class2,405.0,406.0,22.62
2,block1,horz_line,3,1,9,24,24,targ_class2,213.0,286.0,23.2
2,block1,horz_line,3,1,22,25,25,targ_class2,497.0,-221.0,25.52
2,block1,horz_line,3,1,56,26,26,targ_class1,297.0,-338.0,27.72
2,block1,horz_line,3,1,46,27,27,targ_class2,-60.0,-278.0,28.92
2,block1,horz_line,3,1,53,28,28,targ_class2,-362.0,-401.0,30.97
2,block1,horz_line,3,1,64,29,29,targ_class2,-281.0,-403.0,31.65
2,block1,horz_line,3,1,23,30,30,targ_class2,-487.0,-277.0,32.47
2,block1,horz_line,3,1,28,31,31,targ_class2,-447.0,-96.0,33.15
2,block1,horz_line,3,1,10,32,32,targ_class2,-364.0,-30.0,33.68
2,block1,control,4,1,29,1,1,targ_class1,28.0,399.0,2.12
2,block1,control,4,1,62,2,2,targ_class1,305.0,426.0,2.77
2,block1,control,4,1,64,3,3,targ_class1,277.0,370.0,3.16
2,block1,control,4,1,37,4,4,targ_class1,197.0,-43.0,4.52
2,block1,control,4,1,12,5,5,targ_class1,466.0,-130.0,5.35
2,block1,control,4,1,45,6,6,targ_class1,276.0,-412.0,6.65
2,block1,control,4,1,57,7,7,targ_class1,98.0,-426.0,7.6
2,block1,control,4,1,55,8,8,targ_class2,1.0,-319.0,8.36
2,block1,control,4,1,2,9,9,targ_class2,-26.0,-258.0,8.89
2,block1,control,4,1,10,10,10,targ_class2,-191.0,-244.0,9.47
2,block1,control,4,1,6,11,11,targ_class1,-452.0,-363.0,10.54
2,block1,control,4,1,44,12,12,targ_class1,-476.0,-459.0,12.4
2,block1,control,4,1,53,13,13,targ_class1,-117.0,-48.0,13.54
