person,block,condition,trial,attempt,id,found,score,item_class,x,y,rt
3,practice,practice,0,1,16,1,1,targ_class2,-274.0,-67.0,3.14
3,practice,practice,0,1,12,2,2,targ_class2,384.0,70.0,4.62
3,practice,practice,0,1,2,3,3,targ_class2,298.0,400.0,5.45
3,practice,practice,0,1,1,4,4,targ_class2,-49.0,284.0,7.01
3,practice,practice,0,1,10,5,5,targ_class1,-343.0,169.0,7.77
3,practice,practice,0,1,6,6,6,targ_class1,12.0,-75.0,8.7
3,practice,practice,0,1,4,7,7,targ_class1,-207.0,-380.0,9.4
3,practice,practice,0,1,3,8,8,targ_class1,-385.0,-291.0,9.92
3,practice,practice,1,1,12,1,1,targ_class2,85.0,310.0,1.52
3,practice,practice,1,1,11,2,2,targ_class2,295.0,-102.0,3.37
3,practice,practice,1,1,2,3,3,targ_class2,-2.0,-350.0,3.97
3,practice,practice,1,1,9,4,4,targ_class2,-445.0,-326.0,4.79
3,practice,practice,1,1,4,5,5,targ_class1,-386.0,45.0,5.77
3,practice,practice,1,1,6,6,6,targ_class1,-388.0,222.0,7.41
3,practice,practice,1,1,5,7,7,targ_class1,424.0,-183.0,8.41
3,practice,practice,1,1,16,8,8,targ_class1,-82.0,-433.0,9.41
3,block1,vert_line,4,1,37,1,1,targ_class1,-39.0,275.0,1.34
3,block1,vert_line,4,1,49,2,2,targ_class1,-86.0,340.0,1.86
3,block1,vert_line,4,1,25,3,3,targ_class1,-341.0,321.0,2.49
3,block1,vert_line,4,1,19,4,4,targ_class1,271.0,460.0,3.44
3,block1,vert_line,4,1,57,5,5,targ_class1,42.0,135.0,4.34
3,block1,vert_line,4,1,11,6,6,targ_class1,180.0,161.0,4.95
3,block1,vert_line,4,1,5,7,7,targ_class1,412.0,-22.0,5.62
3,block1,vert_line,4,1,51,8,8,targ_class1,224.0,-19.0,6.27
3,block1,vert_line,4,1,38,9,9,targ_class1,213.0,-74.0,6.67
3,block1,vert_line,4,1,18,10,10,targ_class1,270.0,-196.0,7.32
3,block1,vert_line,4,1,63,11,11,targ_class1,371.0,-270.0,7.92
3,block1,vert_line,4,1,30,12,12,targ_class1,74.0,-463.0,10.22
3,block1,vert_line,4,1,41,13,13,targ_class1,-56.0,-277.0,10.95
3,block1,vert_line,4,1,22,14,14,targ_class1,-226.0,-460.0,11.53
3,block1,vert_line,4,1,47,15,15,targ_class1,-461.0,-407.0,12.44
3,block1,vert_line,4,1,16,16,16,targ_class1,-257.0,37.0,13.5
3,block1,vert_line,4,1,44,17,17,targ_class2,-281.0,-292.0,15.22
3,block1,vert_line,4,1,10,18,18,targ_class2,-336.0,-295.0,15.55
3,block1,vert_line,4,1,64,19,19,targ_class2,-250.0,-67.0,16.31
3,block1,vert_line,4,1,59,20,20,targ_class2,-322.0,22.0,16.8
3,block1,vert_line,4,1,45,21,21,targ_class2,-110.0,17.0,17.52
