participant,score,roundnum
ad01,9,1
ad01,6,2
ad01,9,3
ad01,10,4
ad01,13,5
ad01,11,6
ad21,15,1
ad21,25,2
ad21,20,3
ad21,24,4
ad21,19,5
ad21,19,6
ad02,4,1
ad02,2,2
ad02,2,3
ad02,7,4
ad02,5,5
ad02,3,6
ad22,3,1
ad22,9,2
ad22,11,3
ad22,12,4
ad22,15,5
ad22,11,6
ad23,6,1
ad23,6,2
ad23,5,3
ad23,7,4
ad23,4,5
ad23,3,6
ad24,7,1
ad24,11,2
ad24,6,3
ad24,8,4
ad24,6,5
ad24,7,6
ad03,12,1
ad03,6,2
ad03,9,3
ad03,6,4
ad03,13,5
ad03,9,6
ad04,3,1
ad04,3,2
ad04,4,3
ad04,6,4
ad04,3,5
ad04,3,6
ad25,8,1
ad25,5,2
ad25,10,3
ad25,12,4
ad25,7,5
ad25,8,6
ad54,6,1
ad54,10,2
ad54,12,3
ad54,15,4
ad54,10,5
ad54,12,6
ad26,9,1
ad26,13,2
ad26,8,3
ad26,15,4
ad26,13,5
ad26,12,6
ad05,16,1
ad05,23,2
ad05,21,3
ad05,18,4
ad05,12,5
ad05,16,6
ad27,12,1
ad27,10,2
ad27,14,3
ad27,10,4
ad27,10,5
ad27,10,6
ad28,7,1
ad28,2,2
ad28,7,3
ad28,5,4
ad28,5,5
ad28,11,6
ad76,6,1
ad76,7,2
ad76,6,3
ad76,6,4
ad76,9,5
ad76,8,6
ad29,5,1
ad29,9,2
ad29,8,3
ad29,5,4
ad29,10,5
ad29,10,6
ad06,4,1
ad06,5,2
ad06,8,3
ad06,5,4
ad06,4,5
ad06,4,6
ad30,13,1
ad30,19,2
ad30,16,3
ad30,18,4
ad30,14,5
ad30,21,6
ad07,5,1
ad07,9,2
ad07,6,3
ad07,12,4
ad07,8,5
ad07,9,6
ad31,3,1
ad31,5,2
ad31,4,3
ad31,1,4
ad31,5,5
ad31,7,6
ad55,12,1
ad55,12,2
ad55,14,3
ad55,13,4
ad55,13,5
ad55,14,6
ad75,8,1
ad75,6,2
ad75,4,3
ad75,5,4
ad75,8,5
ad75,10,6
ad56,14,1
ad56,9,2
ad56,14,3
ad56,16,4
ad56,19,5
ad56,16,6
ad32,25,1
ad32,27,2
ad32,25,3
ad32,26,4
ad32,29,5
ad32,25,6
ad08,5,1
ad08,8,2
ad08,10,3
ad08,12,4
ad08,11,5
ad08,9,6
ad33,12,1
ad33,11,2
ad33,12,3
ad33,11,4
ad33,9,5
ad33,12,6
ad34,10,1
ad34,8,2
ad34,15,3
ad34,13,4
ad34,12,5
ad34,10,6
ad57,9,1
ad57,9,2
ad57,7,3
ad57,7,4
ad57,7,5
ad57,9,6
ad35,5,1
ad35,6,2
ad35,7,3
ad35,8,4
ad35,12,5
ad35,4,6
ad77,11,1
ad77,12,2
ad77,7,3
ad77,6,4
ad77,12,5
ad77,9,6
ad36,14,1
ad36,9,2
ad36,12,3
ad36,12,4
ad36,14,5
ad36,13,6
ad58,5,1
ad58,7,2
ad58,9,3
ad58,12,4
ad58,8,5
ad58,7,6
ad09,5,1
ad09,5,2
ad09,3,3
ad09,8,4
ad09,7,5
ad09,7,6
ad37,7,1
ad37,6,2
ad37,4,3
ad37,7,4
ad37,7,5
ad37,12,6
ad38,10,1
ad38,8,2
ad38,5,3
ad38,8,4
ad38,9,5
ad38,13,6
ad39,6,1
ad39,6,2
ad39,10,3
